Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR16235395	16.90632517746529	51.0	187.86892178938803	0.0	22725356.0
SRR16235395.forward.filtered	15.573807584192295	53.0	151.0	10.0	24787119.0
SRR16235395.reverse.filtered	13.285911204386991	53.0	151.0	10.0	24787119.0
SRR16235397	28.338480069502523	46.0	205.26360627688462	0.0	31209750.0
SRR16235397.forward.filtered	32.54438676687835	49.0	150.0	0.0	58932730.0
SRR16235397.reverse.filtered	30.656871197633222	49.0	150.0	0.0	58932730.0
SRR16235398	30.005789665427656	52.0	192.2420136453806	0.0	44649689.0
SRR16235398.forward.filtered	30.60313170896302	55.0	150.0	10.0	38447901.0
SRR16235398.reverse.filtered	29.26777935512628	55.0	150.0	10.0	38447901.0
SRR16235406	16.474356484908398	55.0	185.63837861585458	10.0	15462147.0
SRR16235406.forward.filtered	27.59822032243659	59.0	151.0	10.0	25173329.0
SRR16235406.reverse.filtered	23.871139797580568	59.0	151.0	10.0	25173329.0
