Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR16235395.ptf	19.365656034340105	52.0	151.0	0.0	46862105.0
SRR16235395.ptr	18.19219811203466	52.0	151.0	0.0	46862105.0
SRR16235395.um	15.075237222825947	50.0	180.3748449148302	0.0	30023019.0
SRR16235395.utf	8.282079464869867	48.0	99.97426517196672	0.0	10285944.0
SRR16235397.ptf	35.78795216974663	48.0	150.0	0.0	87070676.0
SRR16235397.ptr	35.207582871161065	48.0	150.0	0.0	87070676.0
SRR16235397.um	27.803864138254625	46.0	204.70997481179492	0.0	32768909.0
SRR16235397.utf	17.555826807642248	45.0	106.96965396428348	0.0	6445982.0
SRR16235398.ptf	35.531700687330684	54.0	150.0	10.0	74936095.0
SRR16235398.ptr	34.758443178213824	54.0	150.0	10.0	74936095.0
SRR16235398.um	29.296961052744635	52.0	189.76828322671602	0.0	48352529.0
SRR16235398.utf	18.829442477891547	49.0	100.52187691796574	0.0	13430571.0
SRR16235406.ptf	30.809313939077796	58.0	151.0	10.0	35900860.0
SRR16235406.ptr	29.0519949210003	58.0	151.0	10.0	35900860.0
SRR16235406.um	16.46848729944118	55.0	185.49558802986425	10.0	15519824.0
SRR16235406.utf	8.717159436860726	51.0	102.79855392415737	0.0	4819111.0
